"input_clean" "Freq"
"1350" "regional" 13
"1351" "remains" 13
"1352" "remember" 13
"1353" "rich" 13
"1354" "sauce" 13
"1355" "scores" 13
"1356" "separate" 13
"1357" "sites" 13
"1358" "sought" 13
"1359" "sugar" 13
"1360" "teacher" 13
"1361" "terms" 13
"1362" "tournament" 13
"1363" "township" 13
"1364" "tribune" 13
"1365" "trust" 13
"1366" "understand" 13
"1367" "victim" 13
"1368" "view" 13
"1369" "wants" 13
"1370" "watching" 13
"1371" "winner" 13
"1372" "31" 12
"1373" "33" 12
"1374" "400" 12
"1375" "42" 12
"1376" "abuse" 12
"1377" "activities" 12
"1378" "admission" 12
"1379" "agencies" 12
"1380" "agree" 12
"1381" "album" 12
"1382" "answer" 12
"1383" "apple" 12
"1384" "artist" 12
"1385" "assets" 12
"1386" "assistant" 12
"1387" "author" 12
"1388" "average" 12
"1389" "b" 12
"1390" "benefits" 12
"1391" "blood" 12
"1392" "boston" 12
"1393" "cards" 12
"1394" "carried" 12
